Ae-Cha,Female
Bon-hwa,Male
Bong-Cha,Female
Chin-Hwa,Male
Chin-Mae,Male
Choon-Hee,Female
Chul,Male
Chul-Moo,Male
Chung-Ae,Female
Chung-Cha,Female
Chung-Hee,Male
Dak-Ho,Male
Dong,Male
Dong-Sun,Male
Dong-Yul,Male
Eun,Female
Gi,Male
Hae-Won,Female
Hak-kun,Male
He-Ran,Female
Hee-Young,Female
Ho-Sook,Female
Hwa-Young,Female
Hye,Female
Hyo,Male
Hyo-Sonn,Female
Hyun-Ae,Female
Hyun-Ok,Female
Hyun-ki,Male
Il-sung,Male
In,Female
Ja,Male
Jae-hwa,Male
Jin-Kyong,Female
Jung-Hwa,Male
Kang-Dae,Male
Kwan,Male
Kwang-Sun,Male
Kyubok,Male
Kyubong,Male
Kyung-Soon,Female
Man Young,Male
Man-Shik,Male
Mee-Kyong,Female
Mi-Cha,Female
Mi-Hi,Female
Mi-Ok,Female
Mun-Hee,Male/Female
Myung Dak,Male
Myung-Hee,Female
Myung-Ki,Male
Myung-Ok,Female
Nam-Kyu,Male
Sang-ook,Male
Shin,Male
Shin-il,Male
Sook,Female
Sook-Joo,Female
Soon-Bok,Female
Sun-Hi,Female
Won-Shik,Male
Yong-Sun,Male
Young-Il,Female
Young-Ja,Male
Young-Jae,Male
Young-Nam,Male
Young-Soo,Male
Young-Soon,Female
